<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,5,20180221,114500,141.4300000,141.4300000,141.2200000,141.3600000,192150
GAZP,5,20180221,115000,141.4000000,141.4000000,141.0800000,141.1600000,220150
GAZP,5,20180221,115500,141.1600000,141.2600000,140.8000000,140.9900000,594330
GAZP,5,20180221,120000,140.9900000,141.2500000,140.8800000,141.1600000,111210
GAZP,5,20180221,120500,141.1800000,141.4800000,141.0800000,141.2800000,139700
GAZP,5,20180221,121000,141.2800000,141.5900000,141.1800000,141.5300000,223300
GAZP,5,20180221,121500,141.5900000,141.8200000,141.3500000,141.4900000,130180
GAZP,5,20180221,122000,141.4900000,141.7000000,141.3600000,141.3600000,128450
GAZP,5,20180221,122500,141.3400000,141.6500000,141.2300000,141.5700000,162150
GAZP,5,20180221,123000,141.5400000,141.6800000,141.4100000,141.5900000,159520
GAZP,5,20180221,123500,141.6300000,141.6600000,141.3600000,141.4500000,82160
GAZP,5,20180221,124000,141.4500000,141.5700000,141.4500000,141.5200000,19250
GAZP,5,20180221,124500,141.5300000,141.6200000,141.2500000,141.5400000,179180
GAZP,5,20180221,125000,141.4800000,141.4900000,141.2800000,141.4900000,37650
GAZP,5,20180221,125500,141.4700000,141.6200000,141.3700000,141.5700000,39880
GAZP,5,20180221,130000,141.6100000,141.6100000,141.4300000,141.4900000,52030
GAZP,5,20180221,130500,141.5000000,141.7500000,141.4900000,141.7500000,136500
GAZP,5,20180221,131000,141.7100000,141.7900000,141.5500000,141.7700000,96700
GAZP,5,20180221,131500,141.7800000,141.9400000,141.6600000,141.9400000,115490
GAZP,5,20180221,132000,141.9100000,141.9700000,141.7700000,141.8000000,53210
GAZP,5,20180221,132500,141.8000000,141.9700000,141.7900000,141.9500000,123310
GAZP,5,20180221,133000,141.9600000,142.0600000,141.9000000,142.0200000,183150
GAZP,5,20180221,133500,142.0600000,142.6100000,141.9900000,142.5400000,763040
GAZP,5,20180221,134000,142.6000000,142.6500000,142.4500000,142.6400000,274050
GAZP,5,20180221,134500,142.6400000,142.7200000,142.3700000,142.4400000,321970
GAZP,5,20180221,135000,142.4500000,142.6100000,142.3300000,142.5400000,231780
GAZP,5,20180221,135500,142.5900000,142.6600000,142.3900000,142.5500000,160030
GAZP,5,20180221,140000,142.5500000,142.8000000,142.5200000,142.7100000,333810
GAZP,5,20180221,140500,142.7400000,142.8000000,142.6100000,142.7100000,290210
GAZP,5,20180221,141000,142.7400000,142.7400000,142.4700000,142.7400000,166380
GAZP,5,20180221,141500,142.7000000,142.8000000,142.6700000,142.7800000,109780
GAZP,5,20180221,142000,142.7800000,142.8700000,142.6100000,142.8700000,339960
GAZP,5,20180221,142500,142.8700000,142.8800000,142.6200000,142.7900000,272690
GAZP,5,20180221,143000,142.7400000,142.7400000,142.5000000,142.5600000,124880
GAZP,5,20180221,143500,142.5500000,142.7800000,142.2800000,142.3000000,316260
GAZP,5,20180221,144000,142.3800000,142.5500000,142.3100000,142.5500000,73490
GAZP,5,20180221,144500,142.5500000,142.6000000,142.3800000,142.3800000,48930
GAZP,5,20180221,145000,142.4000000,142.4900000,142.3800000,142.4200000,10210
GAZP,5,20180221,145500,142.4600000,142.5700000,142.3900000,142.5500000,49480
GAZP,5,20180221,150000,142.5500000,142.7300000,142.5200000,142.6500000,45250
GAZP,5,20180221,150500,142.6500000,142.9100000,142.6500000,142.7600000,232600
GAZP,5,20180221,151000,142.7600000,142.8100000,142.5200000,142.5300000,66200
GAZP,5,20180221,151500,142.5900000,142.6200000,142.5300000,142.6200000,32510
GAZP,5,20180221,152000,142.6200000,142.6800000,142.5800000,142.6000000,39070
GAZP,5,20180221,152500,142.5600000,142.6000000,142.5200000,142.5500000,46860
GAZP,5,20180221,153000,142.5200000,142.5600000,142.4400000,142.5100000,104610
GAZP,5,20180221,153500,142.5000000,142.5500000,142.4400000,142.5000000,53290
GAZP,5,20180221,154000,142.5000000,142.5200000,142.3200000,142.3200000,72600
GAZP,5,20180221,154500,142.4000000,142.4000000,142.1500000,142.3500000,160860
GAZP,5,20180221,155000,142.3800000,142.3800000,142.0500000,142.0500000,141730
GAZP,5,20180221,155500,142.0800000,142.2000000,141.7700000,142.0000000,260450
GAZP,5,20180221,160000,142.0000000,142.1300000,141.6700000,142.1000000,299010
GAZP,5,20180221,160500,142.1500000,142.2500000,141.9400000,142.0400000,113950
GAZP,5,20180221,161000,142.0400000,142.0800000,141.9800000,141.9800000,18180
GAZP,5,20180221,161500,141.9900000,142.2900000,141.9500000,142.2900000,65350
GAZP,5,20180221,162000,142.2800000,142.4300000,142.1800000,142.2100000,93730
GAZP,5,20180221,162500,142.3000000,142.7400000,142.3000000,142.6000000,292540
GAZP,5,20180221,163000,142.6000000,142.6700000,142.4200000,142.5800000,71720
GAZP,5,20180221,163500,142.5300000,142.9700000,142.4600000,142.8800000,267230
GAZP,5,20180221,164000,142.8800000,142.9800000,142.8000000,142.9200000,194030
GAZP,5,20180221,164500,142.9500000,143.2400000,142.7000000,142.9800000,895230
GAZP,5,20180221,165000,142.9700000,142.9800000,142.6400000,142.6500000,77090
GAZP,5,20180221,165500,142.6500000,142.8400000,142.6200000,142.7700000,50380
GAZP,5,20180221,170000,142.7800000,142.7800000,142.4500000,142.7500000,117450
GAZP,5,20180221,170500,142.6800000,142.7300000,142.3100000,142.3800000,149480
GAZP,5,20180221,171000,142.3200000,142.7500000,142.3200000,142.7500000,31310
GAZP,5,20180221,171500,142.7600000,142.8900000,142.6000000,142.7000000,178320
GAZP,5,20180221,172000,142.6900000,143.1500000,142.6900000,142.9300000,331670
GAZP,5,20180221,172500,143.0000000,143.2400000,142.9000000,143.2300000,309970
GAZP,5,20180221,173000,143.2000000,143.2000000,143.0000000,143.0700000,166660
GAZP,5,20180221,173500,143.0700000,143.2400000,142.9700000,143.2200000,314110
GAZP,5,20180221,174000,143.1600000,143.3800000,143.0700000,143.1900000,315920
GAZP,5,20180221,174500,143.1900000,143.2000000,143.0000000,143.1900000,108490
GAZP,5,20180221,175000,143.1800000,143.3000000,142.9800000,143.0500000,116970
GAZP,5,20180221,175500,143.0400000,143.1700000,142.9000000,142.9100000,92330
GAZP,5,20180221,180000,142.9500000,143.1200000,142.9000000,142.9900000,93540
GAZP,5,20180221,180500,142.9800000,143.0200000,142.6300000,142.8000000,343680
GAZP,5,20180221,181000,142.8000000,143.2900000,142.8000000,143.2200000,226660
GAZP,5,20180221,181500,143.2200000,143.5000000,143.1700000,143.2100000,512380
GAZP,5,20180221,182000,143.2100000,143.4400000,143.0400000,143.1500000,309260
GAZP,5,20180221,182500,143.2000000,143.6300000,143.1700000,143.5500000,501390
GAZP,5,20180221,183000,143.5300000,143.5600000,143.2900000,143.5100000,295830
GAZP,5,20180221,183500,143.4800000,143.5600000,143.4000000,143.4100000,228770
GAZP,5,20180221,184000,143.4100000,143.7100000,143.4000000,143.6500000,445810
GAZP,5,20180221,185000,144.0000000,144.0000000,144.0000000,144.0000000,2525530
GAZP,5,20180222,100500,143.4300000,143.6000000,143.2100000,143.5700000,547360
GAZP,5,20180222,101000,143.5000000,143.8400000,143.4500000,143.8000000,639060
GAZP,5,20180222,101500,143.8300000,143.8300000,143.6000000,143.6700000,371000
GAZP,5,20180222,102000,143.6300000,143.6400000,143.2500000,143.2700000,661810
GAZP,5,20180222,102500,143.3000000,143.4900000,143.1400000,143.4500000,276320
GAZP,5,20180222,103000,143.4600000,143.4800000,143.1700000,143.3000000,332250
GAZP,5,20180222,103500,143.2700000,143.3400000,143.0800000,143.1200000,81740
GAZP,5,20180222,104000,143.1200000,143.2500000,142.8000000,143.0900000,680570
GAZP,5,20180222,104500,143.1000000,143.2200000,143.0000000,143.2000000,189580
GAZP,5,20180222,105000,143.2300000,143.3800000,143.2100000,143.3000000,103520
GAZP,5,20180222,105500,143.3000000,143.3600000,143.1500000,143.1800000,32700
GAZP,5,20180222,110000,143.1500000,143.4400000,143.1100000,143.4400000,84410
GAZP,5,20180222,110500,143.4400000,143.8300000,143.4300000,143.6700000,607210
GAZP,5,20180222,111000,143.6500000,144.1000000,143.6000000,144.1000000,441450
GAZP,5,20180222,111500,144.1100000,144.7000000,144.0000000,144.3800000,1706380
GAZP,5,20180222,112000,144.4000000,144.9400000,144.3300000,144.7000000,527170
GAZP,5,20180222,112500,144.7000000,145.0000000,144.5400000,144.8300000,1009460
GAZP,5,20180222,113000,144.7700000,144.8200000,144.5200000,144.7100000,225060
